start,low,high,open,close,volume
1737370500,3336.39,3358.12,3355.46,3349.65,864.54043508
1737370800,3348.76,3356.89,3349.92,3351.31,413.15246927
1737371100,3338.53,3353.08,3351.31,3346.07,363.06429628
1737371400,3329.69,3346.12,3346.06,3338.82,466.96163363
1737371700,3336.56,3348.22,3338.38,3345.43,265.39563209
1737372000,3342.33,3385.18,3345.74,3364.99,1956.12875029
1737372300,3352.06,3369.72,3364.98,3361.28,521.8235634
1737372600,3353.74,3363.6,3361.48,3356.64,427.66308568
1737372900,3355.5,3366.4,3356.8,3365.4,315.97274337
1737373200,3364.78,3372.64,3365.74,3369.56,302.5359684
1737373500,3364.16,3374.82,3369.71,3366.67,262.33292293
1737373800,3364.41,3370.08,3366.71,3367.96,354.66268295
1737374100,3366.92,3374.71,3368.29,3371.56,237.18534356
1737374400,3360.63,3375.15,3371.51,3364.02,568.31206574
1737374700,3348.16,3367.74,3364.01,3351.69,726.10409155
1737375000,3315.8,3351.88,3351.88,3327.82,1053.46644386
1737375300,3268.09,3333.95,3328.79,3284.58,2006.74961834
1737375600,3253.98,3297.13,3284.63,3294.63,2646.66822088
1737375900,3284.34,3315.16,3294.2,3298.65,2006.11917356
1737376200,3296.5,3315.83,3298.65,3309.93,704.22672186
1737376500,3277.58,3310.12,3309.87,3283.14,1210.32590518
1737376800,3269,3294.74,3283.14,3285.93,1175.32336977
1737377100,3284.72,3309.33,3285.68,3298.8,1055.05247642
1737377400,3291.35,3305.06,3299.06,3303.36,602.67854919
1737377700,3295.31,3308.25,3303.44,3299.66,404.55440429
1737378000,3291.44,3309.69,3300.15,3306.01,642.96350617
1737378300,3301.61,3316.99,3305.85,3305.4,768.79866213
1737378600,3295.96,3308.89,3305.47,3308.61,932.19178397
1737378900,3303.26,3319.49,3308.23,3316.31,717.33856665
1737379200,3313,3324.52,3316.16,3322.76,434.46734099
1737379500,3311.84,3329.85,3323.35,3313.39,948.51876396
1737379800,3309.42,3341.56,3313.46,3339.67,1638.69376726
1737380100,3321.48,3351.25,3339.67,3322.07,1292.91658861
1737380400,3312.47,3332.32,3321.48,3321.93,976.32412059
1737380700,3315.39,3334.91,3321.41,3331.85,443.1113418
1737381000,3323.58,3335.53,3332.09,3334.86,565.11181247
1737381300,3330,3340.51,3334.6,3338.59,511.28146217
1737381600,3330.01,3354.7,3338.86,3333.99,1128.28081121
1737381900,3326.02,3341.2,3334.07,3337.52,568.60257725
1737382200,3328.6,3341.5,3338.06,3340.56,592.9452824
1737382500,3338.88,3350.68,3340.96,3343.08,396.82303385
1737382800,3341.82,3354.79,3343.5,3347.72,521.93746655
1737383100,3333.79,3348.66,3347.28,3334.76,536.04228759
1737383400,3327.33,3350.39,3334.77,3350.02,497.35320636
1737383700,3333.6,3357.76,3350,3336.13,428.84686449
1737384000,3335.3,3345.73,3336.14,3342.42,409.27223692
1737384300,3333.12,3343.35,3342.64,3340.42,387.40435023
1737384600,3337.93,3350.07,3340.42,3348.59,927.02613814
1737384900,3343.85,3356.33,3348.6,3355.22,350.54348061
1737385200,3338.86,3355.23,3355.23,3352.4,405.24352289
1737385500,3349.6,3364.14,3352.4,3357.35,672.11959176
1737385800,3347.58,3367.3,3357.1,3361.4,419.99049956
1737386100,3335.2,3366.53,3361.23,3355.88,1159.11174641
1737386400,3340.01,3359.16,3355.89,3357.03,971.25904419
1737386700,3350.46,3375,3356.99,3370.26,1027.14117709
1737387000,3347.63,3371.68,3369.42,3350.88,686.86018936
1737387300,3343.56,3364.6,3350.88,3360.75,629.58635975
1737387600,3350.98,3365.06,3360.78,3354.68,877.26535409
1737387900,3310.48,3354.67,3354.67,3332.88,1500.06852183
1737388200,3322.59,3345.35,3333.74,3336.19,1086.5768312
1737388500,3316.59,3339.13,3336.81,3332.1,1220.40189114
1737388800,3324.73,3345.22,3332.05,3338.45,2309.32498926
1737389100,3326.89,3348.48,3338.92,3327.42,921.02936162
1737389400,3272.65,3331.73,3327.42,3302.5,3287.02775617
1737389700,3295.87,3327.06,3304.51,3325.98,1509.51208216
1737390000,3320.31,3340.72,3325.99,3332.95,1129.5029017
1737390300,3332.73,3351.72,3333.14,3344.5,845.98953469
1737390600,3335.26,3349.34,3344.49,3345.92,1152.31354688
1737390900,3341.68,3365.14,3346.79,3365.14,580.62921868
1737391200,3359.64,3385.34,3365.39,3363.42,1675.78268303
1737391500,3356.78,3374.01,3363.41,3369.85,908.93717846
1737391800,3364.27,3372.26,3370.23,3368.73,813.32582567
1737392100,3365.39,3378.02,3368.71,3375.58,800.42736735
1737392400,3304.29,3379.17,3375.43,3307.61,2581.81297389
1737392700,3262.58,3343.31,3307.5,3339.96,8594.43521255
1737393000,3305.68,3348.21,3339.97,3315.25,3051.2991218
1737393300,3306.69,3333.33,3316.33,3310.96,1953.9950211
1737393600,3306.69,3348.66,3310.96,3336.61,1915.47193843
1737393900,3312,3342.98,3336.62,3315.36,2223.79753907
1737394200,3288.44,3335.15,3314.9,3311.43,2343.21215451
1737394500,3236.75,3323.69,3311.73,3242.21,3401.29742765
1737394800,3200.69,3285.29,3243.56,3227.41,7381.39072083
1737395100,3217.12,3276.29,3227.84,3274.27,3413.46538282
1737395400,3269.08,3316.57,3274.71,3313.14,2631.04457804
1737395700,3271.35,3313.15,3313.15,3289.4,2176.31111729
1737396000,3282.41,3313.1,3289.88,3299.89,1551.3742824
1737396300,3283.11,3309.77,3299.54,3309.14,1478.92408664
1737396600,3293.38,3312.56,3309.31,3305.33,1638.38577837
1737396900,3280.09,3306.5,3304.57,3287.38,1133.99115948
1737397200,3285.93,3321.39,3286.7,3315.62,1197.49372771
1737397500,3304.39,3319.69,3315.67,3308.79,839.17681052
1737397800,3297.9,3323.74,3308.79,3303.21,1207.22988261
1737398100,3302.6,3322.77,3303.19,3308.93,1044.88408882
1737398400,3298.55,3312.17,3309.19,3308.21,870.98066201
1737398700,3304.24,3316.91,3308.21,3304.83,837.89124765
1737399000,3300.25,3332.48,3305.03,3331.05,1057.49098407
1737399300,3321.97,3338.69,3331.47,3327.51,1465.49753673
1737399600,3310.09,3331.33,3327.22,3319.13,959.42908013
1737399900,3305.27,3320.71,3319,3314.32,538.93495265
1737400200,3310.06,3323.83,3314.31,3323.09,474.17315745
1737400500,3318.06,3334.26,3323.09,3321.62,527.41911182
1737400800,3313.57,3343.38,3321.59,3338.28,1388.67229146
1737401100,3336.78,3350.91,3338.01,3341.76,558.5423553
1737401400,3325.55,3347.34,3342.74,3347.32,866.48010865
1737401700,3342.86,3360.17,3347.13,3354.99,718.92567396
1737402000,3336.32,3356.48,3355.12,3338.26,598.58959643
1737402300,3337.69,3360.53,3338.85,3341.33,1119.62725803
1737402600,3340.62,3350.87,3340.97,3344.75,578.14571385
1737402900,3338.35,3349.76,3344.87,3339.22,467.71517548
1737403200,3325.8,3340.62,3339.56,3330.76,658.95896749
1737403500,3319.95,3336.96,3330.76,3333.8,846.8603978
1737403800,3322.61,3336.23,3334.14,3328.41,731.65128553
1737404100,3310.78,3329.62,3328.33,3320.33,700.26977469
1737404400,3312.89,3328.93,3320.43,3323.66,961.14150788
1737404700,3316.43,3332.58,3323.63,3320.42,385.02065997
1737405000,3319.56,3330.56,3320.68,3327.41,1626.62678069
1737405300,3322.1,3338.11,3327.22,3333.66,511.76840954
1737405600,3327.88,3336.57,3333.56,3331.83,350.48786061
1737405900,3327,3338.7,3331.83,3331.99,400.70109085
1737406200,3326.4,3333.81,3332.46,3327.58,258.1687143
1737406500,3316.33,3327.28,3327.28,3316.33,577.8290224
1737406800,3313.04,3326.33,3316.6,3324.46,465.29292389
1737407100,3307.68,3326.25,3324.47,3314.06,359.0760143
1737407400,3311.11,3316.93,3314.35,3315.71,291.56069104
1737407700,3311.28,3322.59,3315.99,3322.19,543.19819721
1737408000,3321.79,3333.66,3322.19,3328.08,424.39079432
1737408300,3319.16,3329.79,3328.13,3319.71,409.90427538
1737408600,3318.02,3328.02,3319.81,3318.44,456.50532088
1737408900,3306.28,3323.61,3318.44,3316.54,643.920159
1737409200,3311.52,3319.52,3315.79,3313.88,472.23791495
1737409500,3301.66,3315.05,3313.47,3309.64,894.58810605
1737409800,3297.46,3312.65,3309.64,3298.83,607.12869765
1737410100,3277.52,3299.04,3299.04,3281.36,1284.67800657
1737410400,3252.16,3282.85,3281.36,3255.61,1192.83217332
1737410700,3254.43,3290.08,3256.21,3280.84,1370.24734609
1737411000,3271.73,3285.49,3280.76,3284.53,596.65234577
1737411300,3284.53,3303.03,3284.53,3290.74,554.1992682
1737411600,3278.22,3291.7,3290.74,3284.99,383.42918105
1737411900,3285.18,3301.57,3285.18,3300.65,326.81400497
1737412200,3294.57,3312.86,3300.68,3312.1,426.37620445
1737412500,3305.18,3314.56,3312.61,3307.89,376.01174365
1737412800,3303.36,3311.1,3307.89,3310.83,294.95034525
1737413100,3308.75,3316.64,3311.09,3312.37,317.64022459
1737413400,3310.86,3319.59,3312.28,3317.96,258.24338771
1737413700,3311.6,3320.48,3317.66,3314.32,229.46822698
1737414000,3301.17,3316.95,3314.32,3311.11,483.91854093
1737414000,3301.17,3316.95,3314.32,3311.11,483.91854093
1737414300,3300.92,3316.44,3311.47,3308.89,477.22631366
1737414600,3286.24,3309.31,3309.08,3289.61,662.55945743
1737414900,3279.07,3295.26,3289.27,3295.25,411.92765831
1737415200,3292.49,3302.08,3295.26,3300.13,207.95028779
1737415500,3297.91,3304.31,3300.03,3300.89,224.92125371
1737415800,3288.83,3301.47,3300.66,3294.71,161.61383101
1737416100,3285.24,3298.17,3294.71,3294.79,2180.73757671
1737416400,3291.31,3300.49,3294.75,3297.42,207.41119407
1737416700,3254.46,3298.91,3297.42,3261.13,1881.17743197
1737417000,3260.95,3279.5,3261.11,3269.47,682.82084112
1737417300,3264.95,3280.84,3269.12,3280.4,616.47242897
1737417600,3264.87,3286.22,3280.43,3265.73,475.73301613
1737417900,3251.28,3270.63,3265.73,3257.11,386.28430701
1737418200,3257,3275.58,3257.11,3275.11,429.87427609
1737418500,3262.06,3278.22,3275.35,3264.03,370.81763428
1737418800,3249.14,3273.36,3263.78,3249.46,435.88525385
1737419100,3240,3255.05,3249.51,3244.23,736.92301497
1737419400,3229.12,3256.11,3243.19,3251.61,1081.83811764
1737419700,3246.19,3262.09,3251.3,3251.7,453.32375279
1737420000,3247.33,3265.75,3251.33,3257.73,489.71579973
1737420300,3255.46,3268.88,3258.02,3264.52,532.67107684
1737420600,3220.91,3264.51,3264.51,3226.79,2992.92234046
1737420900,3216.69,3235.51,3226.26,3222.46,724.40285816
1737421200,3218.93,3244,3223.19,3242.21,589.14973515
1737421500,3238.1,3254.49,3242.68,3248.46,759.63020563
1737421800,3243.89,3256.35,3248.55,3250.71,493.65700986
1737422100,3233.93,3251.31,3250.26,3244.64,525.46787458
1737422400,3228.47,3247.63,3244.63,3229.58,472.52702292
1737422700,3206,3230.24,3229.97,3211.71,938.45526417
1737423000,3200.98,3226.24,3211.62,3214.85,961.88180998
1737423300,3212.54,3239.41,3215.04,3226.77,1359.40882463
1737423600,3222.28,3244.95,3225.84,3233.2,827.91022118
1737423900,3229.65,3242.62,3233.12,3239,686.8533028
1737424200,3238.3,3251.29,3239.46,3250.79,669.85036868
1737424500,3245.75,3256.72,3251,3246.74,560.90635991
1737424800,3238.22,3254.48,3246.36,3249.13,448.34622541
1737425100,3243.03,3253.32,3248.78,3249.51,472.00952274
1737425400,3250.73,3269.12,3250.73,3263.53,592.70826677
1737425700,3249.24,3263,3263,3258.53,582.323889
1737426000,3249.34,3262.61,3259.03,3252.35,342.18192378
1737426300,3248.04,3264.92,3252.34,3252.38,526.53466595
1737426600,3238.54,3252.38,3252.38,3248,484.41716501
1737426900,3242.12,3252.53,3248,3246.41,267.04269518
1737427200,3230.01,3249.59,3246.42,3236.59,388.75276554
1737427500,3224.17,3247.11,3236.59,3245.91,373.77823951
1737427800,3245.05,3255.03,3245.91,3250.3,388.50772347
1737428100,3247.78,3254.33,3249.82,3253.45,171.7262513
1737428400,3244.64,3254.32,3252.99,3252.08,296.03036226
1737428700,3244.8,3255.12,3252.08,3250.82,214.24414378
1737429000,3247.82,3260.73,3250.83,3251.5,254.10876459
1737429300,3244.88,3260.64,3251.29,3259.93,244.1830769
1737429600,3254.43,3266.51,3259.92,3259.45,358.57774926
1737429900,3252.75,3261.57,3259.67,3254.75,166.32378437
1737430200,3248.51,3257.45,3254.79,3252.95,157.57797578
1737430500,3245.29,3258.46,3252.89,3256.92,194.0855636
1737430800,3254.55,3264.45,3256.8,3256.9,407.18678503
1737431100,3252.18,3259.43,3257.23,3258.85,183.73843895
1737431400,3254.42,3262.55,3258.91,3259.41,316.74213597
1737431700,3255.63,3260.76,3259.46,3258.89,159.69427232
1737432000,3246.76,3259.21,3258.89,3247.79,244.71299639
1737432300,3230.79,3248.62,3247.79,3231.18,411.41443803
1737432600,3229,3243.58,3231.19,3242.98,352.75334322
1737432900,3241.88,3251.38,3242.99,3247.66,275.3979473
1737433200,3244.25,3254.74,3247.89,3253.67,514.08049867
1737433500,3246.48,3258.31,3253.66,3249.8,343.16946185
1737433800,3219.44,3249.46,3249.43,3223.89,319.61205116
1737434100,3210,3225.49,3223.87,3224.4,990.98076368
1737434400,3224.41,3231.62,3224.41,3229,325.74934662
1737434700,3226.66,3233.29,3229.44,3232.57,414.8625674
1737435000,3228.5,3236,3232.83,3235.46,213.5281857
1737435300,3232.99,3243.87,3235.45,3242.95,250.01263143
1737435600,3233.06,3250.05,3242.94,3235.06,341.37126857
1737435900,3234.06,3246.4,3235.05,3242.45,166.12856516
1737436200,3238.79,3245.99,3242.48,3244.17,146.78831061
1737436500,3239.05,3246.15,3244.17,3240.43,368.83009622
1737436800,3234.65,3241.42,3240.54,3238.95,141.27998482
1737437100,3232.43,3241.16,3238.95,3236.08,118.96732455
1737437400,3216.42,3236.57,3236.08,3218.43,373.03253219
1737437700,3217.36,3234.54,3217.93,3228.41,388.09260186
1737438000,3223.46,3231.71,3228.62,3226.87,149.37317866
1737438300,3220.86,3232.94,3226.83,3222.82,145.78302446
1737438600,3212.88,3224.88,3222.82,3224.3,322.59676908
1737438900,3217.6,3224.47,3224.33,3220.55,173.81748936
1737439200,3209.43,3230.62,3220.74,3228.4,375.84220012
1737439500,3228.19,3242.9,3228.2,3241.24,272.24647919
1737439800,3236.73,3244.83,3240.51,3242.43,331.347219
1737440100,3240.78,3249.9,3242.73,3243.51,366.88123508
1737440400,3235.52,3244.64,3243.32,3242.52,271.31174065
1737440700,3232.14,3245.15,3242.47,3235.31,328.20370019
1737441000,3227.93,3235.74,3234.96,3234.79,222.16731374
1737441300,3220.89,3234.79,3234.79,3221.27,147.04677005
1737441600,3213,3222.42,3221.27,3214.91,206.23017679
1737441900,3212.99,3225.43,3214.62,3220.8,360.48587406
1737442200,3218.59,3237.1,3220.62,3236.03,217.87211123
1737442500,3234.84,3240.51,3236.03,3237.89,288.2437924
1737442800,3230.92,3246.01,3237.77,3240.81,158.87732418
1737443100,3235.58,3243.56,3240.96,3240.67,168.24007233
1737443400,3235.2,3247.42,3240.39,3244.95,161.89333669
1737443700,3244.05,3249.09,3245.12,3246.11,250.87979497
1737444000,3243.15,3257.73,3245.49,3256.16,331.54821409
1737444300,3250.64,3256.17,3256.17,3253.93,184.25678601
1737444600,3248.62,3257.98,3254.02,3255.21,110.47060728
1737444900,3252.01,3257.4,3255.14,3254.69,148.70030962
1737445200,3250.29,3257.46,3254.46,3255.19,197.69531656
1737445500,3253.42,3262.14,3255.38,3253.54,236.99557784
1737445800,3241.58,3253.62,3253.62,3246.41,185.99006712
1737446100,3244.43,3253.82,3246.6,3250.24,189.81497356
1737446400,3240,3250.61,3250.39,3243.88,103.16185891
1737446700,3241.92,3256.02,3244.01,3254.06,82.65732706
1737447000,3250.01,3259.32,3254.38,3255.32,330.81709495
1737447300,3251.19,3258.86,3255.25,3257.65,184.85937028
1737447600,3250.06,3258.21,3257.56,3254.24,152.49298256
1737447900,3250.74,3256.45,3254.24,3254.02,81.78085221
1737448200,3244.38,3253.86,3253.86,3250.08,145.15609486
1737448500,3247.52,3254.99,3250.18,3251.26,170.11910601
1737448800,3235.98,3252.97,3251.25,3239.21,222.97322823
1737449100,3230.23,3239.84,3239.55,3238.44,300.70468267
1737449400,3238.58,3248.22,3238.58,3242.41,142.14970001
1737449700,3241.8,3250.72,3242.46,3250.27,151.08778039
1737450000,3246.55,3256.29,3249.81,3255.54,443.84462554
1737450300,3255.08,3271.06,3255.08,3269.66,1159.75891636
1737450600,3257.44,3269.47,3269.47,3258.41,300.53550587
1737450900,3255.3,3263.08,3258.47,3256.94,219.77243561
1737451200,3255.54,3265.13,3257.68,3261.75,167.29484888
1737451500,3251.5,3261.96,3261.73,3260.65,172.26270235
1737451800,3258.58,3266.53,3260.73,3259.19,297.35119687
1737452100,3256.47,3268.84,3259.19,3263.63,231.67479277
1737452400,3255.7,3265.32,3263.8,3259.62,119.65017987
1737452700,3258.19,3266.22,3259.32,3264.93,203.87458287
